"genus_species","Subgroup","Genus","Species","Eye_Diameter","Body_Length","Preservation"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.4,17,"ethanol"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.4,16,"ethanol"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.4,21.8,"ethanol"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.5,19.1,"ethanol"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.5,28.1,"ethanol"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.6,27.8,"ethanol"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.6,30.9,"fresh"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.6,15.6,"paraformaldehyde"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.6,24.7,"paraformaldehyde"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.7,34.9,"fresh"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.7,32.4,"ethanol"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.7,35.2,"ethanol"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.7,38.6,"fresh"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.8,28.2,"paraformaldehyde"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.8,29.9,"paraformaldehyde"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.8,33.4,"fresh"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.8,29.9,"ethanol"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.8,40.4,"fresh"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.8,36.6,"ethanol"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.8,30.1,"fresh"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.9,30.6,"paraformaldehyde"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.9,28.2,"paraformaldehyde"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.9,33.6,"fresh"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.9,37.4,"fresh"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.9,33.2,"fresh"
"Parasergestes_armatus","Sergestes","Parasergestes","armatus",0.9,43.7,"ethanol"
