species,eye_mm,body_mm,abs_sight_m,rel_sight
Deosergestes corniculum,1.07,48.59,2.38,48.99
Deosergestes henseni,1.04,40.43,2.17,53.78
Allosergestes pectinatus,0.52,19.98,1.11,55.78
Allosergestes sargassi,0.66,23.82,1.54,64.85
Sergestes atlanticus,0.82,25.44,1.76,69.05
Neosergestes edwardsii,0.63,16.89,1.33,78.78
Parasergestes vigilax,0.55,19.12,1.33,69.59
Parasergestes armatus,0.75,30.64,1.54,50.42
Eusergestes arcticus,1.4,54,2.99,55.31
Gardinerosergia splendens,1.19,33.04,2.58,78.23
Robustosergia regalis,1.44,45.06,2.99,66.29
Robustosergia robusta,1.85,57.63,3.77,65.42
Phorcosergia grandis,1.47,56.07,3.19,56.81
Sergia tenuiremis,1.26,45.36,2.79,61.43
Challengerosergia talismani,1.13,37.14,2.38,64.08
Challengerosergia hansjacobi,1.17,33.34,2.58,77.53
