Binomial,Genus,Species,Subgroup,Organ,Night_Avg,Day_Avg,Eye_diameter,Body_length,Relative_size,Benthopelagic,Max_reported
4670_D_corniculum,Deosergestes,corniculum,sergestes,pesta,196,635,1.066111111,48.59166667,0.021940205,no,2000
4814_D_henseni,Deosergestes,henseni,sergestes,pesta,141,517,1.041034483,40.4337931,0.025746644,no,1500
6934_R_robusta,Robustosergia,robusta,sergia,unlensed,304,717,1.84826087,57.63304348,0.032069465,no,2300
7173_C_hansjacobi,Challengerosergia,hansjacobi,sergia,lensed,350,1700,1.167674419,33.33511628,0.035028359,yes,1700
7184_S_atlanticus,Sergestes,atlanticus,sergestes,pesta,160,442,0.818,25.43933333,0.032154931,no,2000
7200_P_grandis,Phorcosergia,grandis,sergia,unlensed,350,1150,1.4684,56.06803922,0.026189609,no,2300
7283_R_regalis,Robustosergia,regalis,sergia,unlensed,300,1350,1.443947368,45.05657895,0.032047426,no,2000
7292_S_tenuiremis,Sergia,tenuiremis,sergia,none,1250,1750,1.259285714,45.35821429,0.027763124,no,2000
7319_P_armatus,Parasergestes ,armatus,sergestes,pesta,223,389,0.748666667,30.636,0.024437481,no,850
8009_G_splendens,Gardinerosergia,splendens,sergia,unlensed,149,691,1.187380952,33.03714286,0.035940788,no,2000
8244_N_edwardsii,Neosergestes,edwardsii,sergestes,pesta,133,499,0.632857143,16.89,0.037469339,no,1000
8285_P_vigilax,Parasergestes,vigilax,sergestes,pesta,160,368,0.55,19.12,0.02876569,no,950
8305_A_sargassi,Allosergestes,sargassi,sergestes,pesta,133,506,0.662631579,23.82078947,0.027817364,no,900
8315_A_pectinatus,Allosergestes,pectinatus,sergestes,pesta,146,446,0.523571429,19.98,0.026204776,no,1300
8366_H_talismani,Challengerosergia,talismani,sergia,lensed,158,586,1.1346875,37.1440625,0.030548287,yes,2000
8005_E_arcticus,Eusergestes,arcticus,sergestes,pesta,330,700,1.4,54,0.025925926,yes,1000
